ticker,avg_sentiment_score,sentiment_std,mention_count,min_sentiment_score,max_sentiment_score,avg_confidence,avg_positive_score,avg_negative_score,avg_neutral_score,dominant_sentiment,date,returns
TESLA,0.0,,1,0.0,0.0,0.861,0.1285,0.0105,0.861,neutral,2018-01-08,6.263821959024418
TESLA,0.6396,,1,0.6396,0.6396,0.6396,0.6396,0.0121,0.3483,positive,2018-01-26,1.5430662178036458
TESLA,-0.9541,,1,-0.9541,-0.9541,0.9541,0.0096,0.9541,0.0362,negative,2018-02-08,-8.62898619278617
TESLA,0.0,,1,0.0,0.0,0.6674,0.0706,0.2621,0.6674,neutral,2018-03-20,-0.9599427576407971
TESLA,0.0,,1,0.0,0.0,0.5252,0.1252,0.3496,0.5252,neutral,2018-03-22,-2.347326010471351
TESLA,-0.6889,,1,-0.6889,-0.6889,0.6889,0.0158,0.6889,0.2953,negative,2018-03-23,-2.4458090225057294
TESLA,-0.8122,0.1284,4,-0.9626,-0.6571,0.8122,0.0246,0.8122,0.1632,negative,2018-03-28,-7.66530355251378
TESLA,0.0259,0.6641,4,-0.7606,0.8644,0.8111,0.25,0.2714,0.4787,neutral,2018-03-29,3.2392000767142104
TESLA,-0.6411,0.5552,3,-0.9638,0.0,0.9468,0.0294,0.6457,0.3249,negative,2018-04-02,-5.1290712302559545
TESLA,0.4541,0.4166,3,0.0,0.8185,0.7595,0.4659,0.0249,0.5092,positive,2018-04-03,5.960860827013281
TESLA,-0.9517,,1,-0.9517,-0.9517,0.9517,0.0102,0.9517,0.0381,negative,2018-04-04,7.255264788199489
TESLA,0.0,,1,0.0,0.0,0.799,0.0744,0.1266,0.799,neutral,2018-04-09,-3.220844689083846
TESLA,-0.3378,0.4777,2,-0.6756,0.0,0.6699,0.0261,0.4886,0.4853,negative,2018-04-10,5.192293313418306
TESLA,0.0,,1,0.0,0.0,0.9474,0.0359,0.0166,0.9474,neutral,2018-04-11,-1.2372820864378187
TESLA,-0.3943,0.5577,2,-0.7887,0.0,0.8069,0.0239,0.4668,0.5093,negative,2018-04-12,-2.2762782382571456
TESLA,0.0,,1,0.0,0.0,0.88,0.0763,0.0437,0.88,neutral,2018-04-16,-3.0398916175858104
TESLA,-0.7036,0.4695,4,-0.9591,0.0,0.9186,0.0408,0.706,0.2532,negative,2018-04-17,-1.2087505392479714
TESLA,0.0,,1,0.0,0.0,0.8678,0.0586,0.0736,0.8678,neutral,2018-04-18,1.9674020987929586
TESLA,-0.8724,,1,-0.8724,-0.8724,0.8724,0.0227,0.8724,0.1049,negative,2018-04-19,2.294182395058919
TESLA,-0.4179,0.591,2,-0.8358,0.0,0.7668,0.0213,0.5583,0.4204,negative,2018-04-26,1.7065024181957433
TESLA,-0.908,,1,-0.908,-0.908,0.908,0.0142,0.908,0.0778,negative,2018-05-02,0.41011301765416786
TESLA,-0.4718,0.5173,6,-0.9723,0.0,0.8762,0.0632,0.5102,0.4266,negative,2018-05-03,-5.545415542303234
TESLA,-0.9641,,1,-0.9641,-0.9641,0.9641,0.0107,0.9641,0.0251,negative,2018-05-04,3.389002165305066
TESLA,0.0,,1,0.0,0.0,0.9069,0.0407,0.0524,0.9069,neutral,2018-05-09,1.6160606885176954
TESLA,0.0,0.0,2,0.0,0.0,0.9148,0.0692,0.016,0.9148,neutral,2018-05-14,-3.019336089884739
TESLA,-0.3853,0.4335,6,-0.9303,0.0,0.7605,0.0748,0.4421,0.4831,negative,2018-05-15,-2.668080078854762
TESLA,-0.1855,0.3213,3,-0.5565,0.0,0.7274,0.1301,0.1931,0.6767,neutral,2018-05-16,0.8093479277920368
TESLA,0.5054,,1,0.5054,0.5054,0.5054,0.5054,0.0095,0.4851,positive,2018-05-18,-2.713155456686789
TESLA,-0.6381,0.5527,3,-0.9684,0.0,0.8801,0.094,0.6441,0.2618,negative,2018-05-21,2.770754354269944
TESLA,0.0,,1,0.0,0.0,0.5811,0.3747,0.0441,0.5811,neutral,2018-05-22,-3.3322787235185114
TESLA,0.5746,0.4209,4,0.0,0.9397,0.7101,0.5906,0.1901,0.2193,positive,2018-05-23,1.4763174167753412
TESLA,-0.4663,0.6594,2,-0.9325,0.0,0.7647,0.026,0.6495,0.3244,negative,2018-05-24,-0.43717560141247613
TESLA,0.1745,0.3901,5,0.0,0.8723,0.7627,0.2743,0.119,0.6067,neutral,2018-05-25,0.3599112439287566
TESLA,0.0,,1,0.0,0.0,0.8367,0.1066,0.0567,0.8367,neutral,2018-05-30,2.8051857754248344
TESLA,0.0,,1,0.0,0.0,0.9245,0.0322,0.0434,0.9245,neutral,2018-06-04,1.6859761047419486
TESLA,0.7971,,1,0.7971,0.7971,0.7971,0.7971,0.0094,0.1935,positive,2018-06-05,-1.8905466401010762
TESLA,0.3755,0.531,2,0.0,0.751,0.7103,0.4218,0.1522,0.4261,neutral,2018-06-06,9.744783937389844
TESLA,0.0,,1,0.0,0.0,0.7936,0.1955,0.0109,0.7936,neutral,2018-06-07,-1.067291441269691
TESLA,-0.7557,0.2475,2,-0.9308,-0.5807,0.7557,0.0242,0.7557,0.2201,negative,2018-06-08,0.49669872212043664
TESLA,-0.0223,1.0494,2,-0.7643,0.7197,0.742,0.381,0.3865,0.2324,negative,2018-06-11,4.5457353862759176
TESLA,-0.8585,0.1916,3,-0.9692,-0.6373,0.8585,0.0705,0.8585,0.071,negative,2018-06-12,3.2128918162852793
TESLA,0.0,,1,0.0,0.0,0.9291,0.056,0.0148,0.9291,neutral,2018-06-13,0.5863940944921264
TESLA,0.0,,1,0.0,0.0,0.5174,0.0809,0.4017,0.5174,neutral,2018-06-14,3.7531198826580514
TESLA,0.0,,1,0.0,0.0,0.9041,0.0795,0.0163,0.9041,neutral,2018-06-18,3.534633777963303
TESLA,0.0,,1,0.0,0.0,0.9055,0.0721,0.0224,0.9055,neutral,2018-06-19,-4.929487816484701
TESLA,-0.4463,0.6311,2,-0.8925,0.0,0.7595,0.1874,0.4514,0.3612,negative,2018-06-20,2.7428816276547474
TESLA,-0.2087,0.4175,4,-0.8349,0.0,0.8188,0.0686,0.2842,0.6473,neutral,2018-06-22,-3.9941282796361555
TESLA,-0.7519,,1,-0.7519,-0.7519,0.7519,0.0221,0.7519,0.226,negative,2018-06-26,2.699616299368457
TESLA,0.8358,,1,0.8358,0.8358,0.8358,0.8358,0.0217,0.1425,positive,2018-06-28,1.576195226568089
TESLA,-0.9568,,1,-0.9568,-0.9568,0.9568,0.0248,0.9568,0.0184,negative,2018-06-29,-1.9946872439894237
TESLA,-0.275,0.7118,6,-0.9553,0.888,0.8575,0.1993,0.4326,0.368,negative,2018-07-02,-2.29771140682663
TESLA,-0.3213,0.5565,3,-0.9638,0.0,0.9233,0.0361,0.3528,0.6111,neutral,2018-07-03,-7.225349003910242
TESLA,0.0,,1,0.0,0.0,0.8478,0.0559,0.0963,0.8478,neutral,2018-07-06,-0.08410200885162755
TESLA,0.0,,1,0.0,0.0,0.6891,0.1763,0.1345,0.6891,neutral,2018-07-09,3.1110407612896296
TESLA,0.7115,0.2049,3,0.5423,0.9394,0.7115,0.7115,0.0863,0.2022,positive,2018-07-10,1.2432888210448967
TESLA,0.0,,1,0.0,0.0,0.768,0.2218,0.0102,0.768,neutral,2018-07-11,-1.0884699093960615
TESLA,0.5709,,1,0.5709,0.5709,0.5709,0.5709,0.2579,0.1713,positive,2018-07-12,-0.7054158152785206
TESLA,-0.1449,1.1198,2,-0.9367,0.6469,0.7918,0.3297,0.474,0.1963,negative,2018-07-17,4.059986456040265
TESLA,0.0,,1,0.0,0.0,0.6142,0.0499,0.3359,0.6142,neutral,2018-07-18,0.35947868010812734
TESLA,-0.4726,0.6683,2,-0.9451,0.0,0.7836,0.1791,0.487,0.3339,negative,2018-07-19,-1.1177999356501767
TESLA,0.0,,1,0.0,0.0,0.8106,0.1544,0.0349,0.8106,neutral,2018-07-20,-2.0766382110007697
TESLA,0.0,,1,0.0,0.0,0.89,0.085,0.025,0.89,neutral,2018-07-23,-3.3101575077221113
TESLA,-0.9441,0.0147,2,-0.9545,-0.9336,0.9441,0.0187,0.9441,0.0373,negative,2018-07-24,-1.903033212777827
TESLA,0.5477,,1,0.5477,0.5477,0.5477,0.5477,0.3562,0.0961,positive,2018-07-27,-3.0882068378310756
TESLA,0.0,,1,0.0,0.0,0.8804,0.1094,0.0102,0.8804,neutral,2018-07-30,-2.3588372374675926
TESLA,0.9265,,1,0.9265,0.9265,0.9265,0.9265,0.0106,0.0629,positive,2018-07-31,2.7466588287701876
TESLA,0.1208,0.6919,5,-0.8945,0.9298,0.809,0.3758,0.2115,0.4127,neutral,2018-08-01,0.9056163722604094
TESLA,-0.1049,0.6518,3,-0.8028,0.4882,0.5922,0.3694,0.4351,0.1954,negative,2018-08-02,16.18801307070199
TESLA,-0.0374,0.5137,11,-0.9527,0.76,0.8127,0.218,0.2141,0.5679,neutral,2018-08-07,10.988623587715551
TESLA,-0.0903,0.2389,7,-0.6319,0.0,0.7776,0.1454,0.1308,0.7238,neutral,2018-08-08,-2.4316999264261008
TESLA,-0.2562,0.6423,8,-0.9665,0.8186,0.901,0.1261,0.4073,0.4666,neutral,2018-08-09,-4.830689844604441
TESLA,-0.236,0.3304,5,-0.6875,0.0,0.7985,0.0594,0.2548,0.6858,neutral,2018-08-10,0.8625279557523235
TESLA,-0.1131,0.2529,5,-0.5655,0.0,0.7302,0.0817,0.2324,0.686,neutral,2018-08-13,0.25880310425296926
TESLA,-0.0316,0.5778,5,-0.8938,0.7358,0.8894,0.1729,0.1937,0.6334,neutral,2018-08-14,-2.4606514038646665
