ticker,avg_sentiment,sentiment_volatility,mention_count,avg_confidence
A,-0.127,0.521,3391,0.795
AA,-0.737,0.373,6,0.855
AB,-0.131,0.649,32,0.803
ABATE,0.099,0.844,5,0.75
ABB,0.095,0.589,14,0.745
ABBV,0.073,0.675,21,0.823
ABE,0.258,0.482,23,0.798
ABLE,0.195,0.593,16,0.816
ABU,-0.186,0.601,21,0.836
ABUSE,-0.543,0.461,30,0.816
ACCOR,-0.332,0.582,6,0.782
ACT,-0.033,0.491,80,0.752
ACTED,-0.139,0.341,6,0.717
ACTS,-0.202,0.588,5,0.735
AD,-0.172,0.633,159,0.833
ADAM,-0.454,0.396,13,0.729
ADANI,-0.337,0.553,38,0.788
ADAPT,0.178,0.31,11,0.714
ADD,0.068,0.562,79,0.791
ADDED,-0.053,0.655,23,0.781
ADDS,-0.078,0.625,141,0.823
ADM,-0.213,0.7,12,0.834
ADMIT,-0.341,0.38,8,0.759
ADNOC,0.449,0.437,7,0.766
ADOBE,0.2,0.582,18,0.878
ADOPT,0.084,0.348,11,0.776
ADP,-0.28,0.433,9,0.739
ADS,-0.355,0.476,88,0.793
AETNA,-0.154,0.623,18,0.754
AFP,-0.647,0.35,6,0.753
AG,-0.011,0.505,25,0.818
AGE,-0.07,0.317,59,0.849
AGED,-0.039,0.193,25,0.794
AGENT,-0.423,0.418,13,0.829
AGING,-0.216,0.694,8,0.769
AGM,-0.456,0.439,30,0.814
AGO,-0.271,0.629,20,0.814
AGREE,0.167,0.592,111,0.771
AGS,-0.112,0.274,6,0.872
AHEAD,-0.041,0.599,481,0.8
AHOLD,0.033,0.828,8,0.863
AI,0.119,0.395,48,0.774
AID,-0.02,0.613,191,0.77
AIDE,-0.238,0.36,18,0.795
AIDED,0.16,0.808,6,0.824
AIDES,-0.343,0.391,6,0.795
AIDS,0.027,0.626,5,0.735
AIG,-0.15,0.642,27,0.86
AIM,-0.123,0.487,54,0.78
AIMED,0.099,0.41,23,0.747
AIMS,0.32,0.485,165,0.799
AIR,-0.156,0.639,453,0.817
AIRES,-0.489,0.449,5,0.834
AL,0.307,0.431,14,0.846
ALARM,-0.657,0.361,29,0.8
ALCOA,0.017,0.787,5,0.765
ALDI,0.104,0.614,25,0.823
ALERT,-0.336,0.497,19,0.814
ALEX,-0.139,0.31,5,0.692
ALEXA,0.051,0.411,13,0.826
ALIVE,-0.019,0.466,13,0.746
ALLAY,0.129,0.75,8,0.757
ALLEN,-0.008,0.434,9,0.826
ALLOW,0.08,0.36,45,0.776
ALLY,-0.284,0.351,14,0.728
ALONE,-0.057,0.512,27,0.753
ALONG,0.337,0.693,15,0.831
ALSO,0.002,0.574,23,0.801
ALTER,-0.23,0.398,7,0.831
AM,-0.082,0.44,27,0.763
AMBER,0.097,0.613,5,0.723
AMC,-0.063,0.773,7,0.835
AMD,-0.06,0.752,17,0.864
AMEX,0.202,0.776,13,0.843
AMGEN,-0.122,0.558,18,0.841
AMID,-0.49,0.653,798,0.843
AMP,-0.617,0.432,19,0.845
AMPLE,0.492,0.664,7,0.836
AMS,0.041,0.506,22,0.778
AN,-0.092,0.464,293,0.783
ANA,-0.143,0.685,9,0.836
ANDY,-0.236,0.324,5,0.756
ANGER,-0.703,0.413,46,0.86
ANGLO,-0.173,0.712,9,0.815
ANGRY,-0.874,0.118,13,0.874
ANGST,-0.434,0.773,6,0.807
ANNA,-0.389,0.435,22,0.729
ANT,0.089,0.252,17,0.849
ANTI,-0.289,0.527,109,0.771
ANZ,-0.734,0.374,16,0.869
APART,-0.254,0.532,11,0.824
APEC,-0.269,0.815,7,0.856
APP,-0.145,0.53,104,0.81
APPLE,-0.134,0.591,673,0.813
APPLY,-0.022,0.452,21,0.805
APPS,-0.282,0.481,45,0.816
APRIL,-0.302,0.672,148,0.854
APRON,-0.163,0.74,8,0.891
AR,0.102,0.229,5,0.747
ARCH,-0.488,0.606,6,0.772
ARE,-0.214,0.486,880,0.792
AREA,-0.142,0.586,25,0.854
AREAS,-0.266,0.624,21,0.833
AREN,-0.12,0.305,28,0.836
ARGOS,-0.578,0.527,5,0.886
ARM,-0.14,0.567,51,0.833
ARMS,-0.137,0.684,22,0.864
ARMY,-0.226,0.654,15,0.768
ART,0.048,0.502,32,0.784
ARTS,-0.351,0.44,12,0.791
AS,-0.331,0.669,5712,0.829
ASAHI,-0.163,0.365,5,0.874
ASDA,-0.31,0.551,90,0.834
ASIA,0.002,0.665,158,0.821
ASIAN,-0.284,0.672,71,0.796
ASIC,-0.605,0.435,10,0.826
ASIDE,-0.166,0.416,33,0.8
ASK,-0.063,0.4,85,0.794
ASKED,-0.078,0.418,47,0.818
ASKS,-0.209,0.505,142,0.776
ASO,-0.011,0.692,8,0.813
ASOS,-0.13,0.696,23,0.813
ASSET,-0.212,0.571,70,0.852
ASTON,-0.191,0.575,87,0.82
ATM,-0.559,0.402,7,0.763
ATMS,-0.63,0.352,6,0.78
AUDI,-0.237,0.567,78,0.83
AUDIO,-0.166,0.316,21,0.788
AUDIT,-0.378,0.483,66,0.788
AUG,-0.011,0.59,6,0.809
AUTO,-0.284,0.669,300,0.825
AUTOS,-0.145,0.631,32,0.834
AVERT,-0.001,0.59,32,0.775
AVIVA,-0.266,0.606,15,0.853
AVOID,-0.198,0.549,124,0.768
AWAIT,-0.245,0.525,25,0.767
AWARD,-0.116,0.705,20,0.837
AWARE,-0.073,0.251,12,0.814
AWAY,-0.333,0.475,119,0.787
AX,-0.104,0.659,5,0.74
AXA,-0.017,0.697,7,0.812
AXE,-0.708,0.428,44,0.87
AXED,-0.798,0.453,11,0.9
AXEL,-0.064,0.487,5,0.787
AXES,-0.627,0.424,17,0.842
AXON,0.193,0.662,6,0.767
AXP,-0.229,0.553,32,0.738
AZUL,0.072,0.575,7,0.84
B,0.066,0.576,19,0.84
