ticker,first_date,last_date,trading_days,total_mentions,overall_avg_sentiment,overall_sentiment_std,avg_daily_sentiment_std
T,2017-12-17,2020-07-18,931,52613,-0.18,0.133,0.57
C,2017-12-17,2020-07-18,931,47283,-0.184,0.138,0.571
V,2017-12-17,2020-07-18,922,25490,-0.178,0.173,0.56
S,2017-12-17,2020-07-18,918,16428,-0.152,0.203,0.564
MA,2017-12-17,2020-07-18,904,13906,-0.18,0.2,0.559
GE,2017-12-17,2020-07-18,901,10203,-0.179,0.237,0.551
BA,2017-12-17,2020-07-18,891,8200,-0.207,0.257,0.533
U,2018-03-02,2020-07-17,787,6982,-0.163,0.314,0.631
AS,2017-12-17,2020-07-18,852,5708,-0.316,0.345,0.62
SAYS,2017-12-17,2020-07-18,819,4156,-0.067,0.36,0.556
CHINA,2017-12-17,2020-07-17,765,3793,-0.111,0.428,0.576
A,2017-12-17,2020-07-18,807,3386,-0.121,0.303,0.458
UK,2017-12-17,2020-07-18,773,3093,-0.263,0.425,0.6
TRADE,2017-12-17,2020-07-18,707,2843,-0.118,0.462,0.565
MS,2017-12-17,2020-07-18,773,2655,-0.24,0.406,0.517
DEAL,2017-12-18,2020-07-18,719,2384,-0.023,0.439,0.525
IT,2017-12-18,2020-07-18,767,2202,-0.197,0.404,0.503
IS,2017-12-17,2020-07-18,748,2190,-0.094,0.332,0.385
TRUMP,2017-12-18,2020-07-16,677,2068,-0.138,0.414,0.477
DIS,2017-12-20,2020-07-18,690,1659,-0.338,0.414,0.459
OIL,2017-12-18,2020-07-17,628,1655,-0.172,0.575,0.562
BAC,2017-12-18,2020-07-18,646,1430,-0.145,0.456,0.501
GS,2017-12-18,2020-07-17,655,1430,-0.164,0.485,0.534
BE,2017-12-17,2020-07-18,661,1414,-0.124,0.371,0.353
BANK,2017-12-20,2020-07-18,589,1231,-0.239,0.462,0.462
SALES,2017-12-18,2020-07-17,564,1220,-0.095,0.66,0.695
COULD,2017-12-17,2020-07-17,596,1138,-0.312,0.504,0.479
US,2017-12-17,2020-07-17,582,1113,-0.262,0.518,0.499
TALKS,2017-12-21,2020-07-17,547,1113,0.016,0.412,0.411
MAY,2017-12-18,2020-07-16,553,1100,-0.304,0.463,0.521
FED,2018-01-03,2020-07-17,440,1079,-0.125,0.472,0.496
EU,2017-12-18,2020-07-17,505,1042,-0.156,0.494,0.493
YEAR,2017-12-17,2020-07-17,538,1004,-0.175,0.611,0.62
WALL,2018-01-02,2020-07-17,557,928,-0.173,0.626,0.579
CUT,2017-12-17,2020-07-18,456,923,-0.504,0.528,0.456
HIT,2017-12-17,2020-07-15,482,905,-0.383,0.612,0.532
STOCK,2017-12-22,2020-07-16,494,885,-0.12,0.488,0.46
ARE,2017-12-18,2020-07-16,522,879,-0.221,0.419,0.391
OUT,2017-12-17,2020-07-17,508,854,-0.274,0.456,0.419
FIRST,2017-12-19,2020-07-17,488,845,-0.077,0.527,0.49
PAY,2017-12-17,2020-07-17,502,836,-0.348,0.512,0.444
ITS,2017-12-20,2020-07-17,509,830,-0.168,0.504,0.428
JOBS,2017-12-17,2020-07-18,442,827,-0.632,0.505,0.33
AMID,2017-12-19,2020-07-18,446,798,-0.491,0.557,0.504
